index,time,location,account,message,hour
19171,2020-04-08 09:35:00,Old Town,BusyNHouse,re: @Ayres1995  o noweo - noweow tjehe bridges are closed how canowe we getje outje of here.,2020-04-08 09:00:00
19177,2020-04-08 09:35:00,Terrapin Springs,D1950Williams,re: We have closed all major bridges as a precaution until they can be inspected,2020-04-08 09:00:00
19193,2020-04-08 09:36:00,Northwest,Carlos_Turner70,re: We have closed all major bridges as a precaution until they can be inspected,2020-04-08 09:00:00
19244,2020-04-08 09:42:00,Southton,DarkFreebornIcecream,re:  I wish I could see the bridges from ehre...,2020-04-08 09:00:00
19252,2020-04-08 09:43:00,Palace Hills,LazyJLight53,re:  I wish I could see the bridges from ehre...,2020-04-08 09:00:00
19268,2020-04-08 09:45:00,West Parton,RunsFrances_MeaderBird,re: I bet all of the bridges have collapsed like 12th of July Bridge - that was huge quake!,2020-04-08 09:00:00
19286,2020-04-08 09:46:00,Southwest,RacesMonteHorse,re: I bet all of the bridges have collapsed like 12th of July Bridge - that was huge quake!,2020-04-08 09:00:00
19289,2020-04-08 09:46:00,West Parton,Melissa59,re: We have closed all major bridges as a precaution until they can be inspected,2020-04-08 09:00:00
19293,2020-04-08 09:47:00,Scenic Vista,JObnoxiousAntolin,re: I bet all of the bridges have collapsed like 12th of July Bridge - that was huge quake!,2020-04-08 09:00:00
19302,2020-04-08 09:48:00,East Parton,HoldsMedinaFish,re:  I wish I could see the bridges from ehre...,2020-04-08 09:00:00
19321,2020-04-08 09:51:00,Weston,FastBarthelIcecream,re: We have closed all major bridges as a precaution until they can be inspected,2020-04-08 09:00:00
19329,2020-04-08 09:51:00,Southton,FamousOPlate,re: Closing bridges is good. Help prevent more casualties from collapsed bridges.,2020-04-08 09:00:00
19337,2020-04-08 09:52:00,Northwest,WileyMclaughlinBowl61,re: @Ayres1995  o noweo - noweow tjehe bridges are closed how canowe we getje outje of here.,2020-04-08 09:00:00
19344,2020-04-08 09:53:00,Safe Town,FastJonesBowl1991,re:  I wish I could see the bridges from ehre...,2020-04-08 09:00:00
19349,2020-04-08 09:54:00,Weston,FearsBornOctopus,re: We only had one bridge how am I supposed to get home,2020-04-08 09:00:00
19370,2020-04-08 09:56:00,Northwest,ObnoxiousSheffieldCar1981,re: Closing bridges is good. Help prevent more casualties from collapsed bridges.,2020-04-08 09:00:00
19388,2020-04-08 09:58:00,Northwest,FastCandyMichael,re: We only had one bridge how am I supposed to get home,2020-04-08 09:00:00
19393,2020-04-08 09:59:00,Palace Hills,WatchesMaryCat,re: @Ayres1995  o noweo - noweow tjehe bridges are closed how canowe we getje outje of here.,2020-04-08 09:00:00
19394,2020-04-08 09:59:00,Southwest,Richard_Chen84,re: We only had one bridge how am I supposed to get home,2020-04-08 09:00:00
19412,2020-04-08 10:01:00,Downtown,DarkArchieIcecream,re: @Ayres1995  o noweo - noweow tjehe bridges are closed how canowe we getje outje of here.,2020-04-08 10:00:00
19449,2020-04-08 10:05:00,Weston,Katrina_EspinozaCat1984,re: We only had one bridge how am I supposed to get home,2020-04-08 10:00:00
19452,2020-04-08 10:05:00,<Location with-held due to contract>,LazyWBread,Department of Transportation: Bridge B is open - our bridge inspection team is working hard to get us moving again! #FTWBridgeWonder,2020-04-08 10:00:00
19501,2020-04-08 10:16:00,Southwest,CleverIcecreamGreene,re: We only had one bridge how am I supposed to get home,2020-04-08 10:00:00
19524,2020-04-08 10:19:00,Weston,HerbertBusyM,re: Department of Transportation: Bridge B is open - our bridge inspection team is working hard to get us moving again! #FTWBridgeWonder,2020-04-08 10:00:00
19539,2020-04-08 10:21:00,Palace Hills,LazyGloverPlate42,re: Department of Transportation: Bridge B is open - our bridge inspection team is working hard to get us moving again! #FTWBridgeWonder,2020-04-08 10:00:00
19558,2020-04-08 10:26:00,Northwest,TallFultzIcecream,re: Department of Transportation: Bridge B is open - our bridge inspection team is working hard to get us moving again! #FTWBridgeWonder,2020-04-08 10:00:00
19565,2020-04-08 10:27:00,Scenic Vista,James2001,re: Department of Transportation: Bridge B is open - our bridge inspection team is working hard to get us moving again! #FTWBridgeWonder,2020-04-08 10:00:00
19577,2020-04-08 10:30:00,Downtown,MilburnHorse1955,re: Department of Transportation: Bridge B is open - our bridge inspection team is working hard to get us moving again! #FTWBridgeWonder,2020-04-08 10:00:00
19610,2020-04-08 10:43:00,Downtown,AttentativePBread32,re: Department of Transportation: Bridge B is open - our bridge inspection team is working hard to get us moving again! #FTWBridgeWonder,2020-04-08 10:00:00
19975,2020-04-08 12:10:00,<Location with-held due to contract>,RayDog1978,Dont go on any of the bridges. How do they know what bridges are safe? Are they sure? I used to build houses and know something about construction.,2020-04-08 12:00:00
20048,2020-04-08 12:26:00,Broadview,KimberlyFleetWillis,re: Dont go on any of the bridges. How do they know what bridges are safe? Are they sure? I used to build houses and know something about construction.,2020-04-08 12:00:00
20069,2020-04-08 12:30:00,Terrapin Springs,AyersBear17,re: Dont go on any of the bridges. How do they know what bridges are safe? Are they sure? I used to build houses and know something about construction.,2020-04-08 12:00:00
20077,2020-04-08 12:31:00,Oak Willow,SmartNewmanBread,re: Dont go on any of the bridges. How do they know what bridges are safe? Are they sure? I used to build houses and know something about construction.,2020-04-08 12:00:00
20109,2020-04-08 12:36:00,Old Town,C1980Irvin,re: Dont go on any of the bridges. How do they know what bridges are safe? Are they sure? I used to build houses and know something about construction.,2020-04-08 12:00:00
20138,2020-04-08 12:39:00,Downtown,AttentativeJacksonCar,re: Dont go on any of the bridges. How do they know what bridges are safe? Are they sure? I used to build houses and know something about construction.,2020-04-08 12:00:00
20141,2020-04-08 12:40:00,Northwest,FamousBowlTeresa,re: Dont go on any of the bridges. How do they know what bridges are safe? Are they sure? I used to build houses and know something about construction.,2020-04-08 12:00:00
20190,2020-04-08 12:46:00,Scenic Vista,LazyDBowl,re: Dont go on any of the bridges. How do they know what bridges are safe? Are they sure? I used to build houses and know something about construction.,2020-04-08 12:00:00
20282,2020-04-08 12:59:00,Palace Hills,Sarah51Chan,re: Dont go on any of the bridges. How do they know what bridges are safe? Are they sure? I used to build houses and know something about construction.,2020-04-08 12:00:00
20623,2020-04-08 13:25:00,Downtown,TaliaLion1988,The someone they someone is now in the ambulance to the bridge. he moving 8m slower than usual.,2020-04-08 13:00:00
20807,2020-04-08 13:36:00,Downtown,AdministratorSophie,I'm trying to get to you but the bridge is still down and the city is in a little bit of a frenzy I don't know if i'll make it to you @CleverJCar,2020-04-08 13:00:00
21126,2020-04-08 13:47:00,Pepper Mill,CassieStones,"This is a bad time to be driving, bridges are down",2020-04-08 13:00:00
21140,2020-04-08 13:48:00,Northwest,NormanFish1994,re: I'm trying to get to you but the bridge is still down and the city is in a little bit of a frenzy I don't know if i'll make it to you @CleverJCar,2020-04-08 13:00:00
21347,2020-04-08 13:55:00,Weston,SutherlandDog42,"re: This is a bad time to be driving, bridges are down",2020-04-08 13:00:00
21446,2020-04-08 13:58:00,Weston,Meagan_Weiland93,"re: This is a bad time to be driving, bridges are down",2020-04-08 13:00:00
21460,2020-04-08 13:59:00,Chapparal,FearsGandyFish,"re: This is a bad time to be driving, bridges are down",2020-04-08 13:00:00
21479,2020-04-08 14:00:00,West Parton,Robert_StephensBear90,"re: This is a bad time to be driving, bridges are down",2020-04-08 14:00:00
21513,2020-04-08 14:01:00,West Parton,RacesAmaroHorse,"re: This is a bad time to be driving, bridges are down",2020-04-08 14:00:00
21546,2020-04-08 14:02:00,Old Town,OldTownBlues,Watowordser spraying all over flodding. towordsrying towordso getowords some people towordso head towordsowards towordshe bridge @GallopinGary,2020-04-08 14:00:00
21774,2020-04-08 14:10:00,West Parton,RunsKris_PedersonFish,re: Watowordser spraying all over flodding. towordsrying towordso getowords some people towordso head towordsowards towordshe bridge @GallopinGary,2020-04-08 14:00:00
21847,2020-04-08 14:13:00,Downtown,CleverMBread,re: Watowordser spraying all over flodding. towordsrying towordso getowords some people towordso head towordsowards towordshe bridge @GallopinGary,2020-04-08 14:00:00
21974,2020-04-08 14:18:00,Downtown,IreneLazyW,re: Watowordser spraying all over flodding. towordsrying towordso getowords some people towordso head towordsowards towordshe bridge @GallopinGary,2020-04-08 14:00:00
22058,2020-04-08 14:21:00,Palace Hills,HoldsKareem_SanchezBear,Contruction upgrading bridgesies to earthquake standards in anything - How Many he Have an Plan?,2020-04-08 14:00:00
22087,2020-04-08 14:22:00,Weston,FastCHouse,re: Watowordser spraying all over flodding. towordsrying towordso getowords some people towordso head towordsowards towordshe bridge @GallopinGary,2020-04-08 14:00:00
22214,2020-04-08 14:27:00,Old Town,AttentativeBHouse,Howís thgehe bridge? Whathgeís thgehe safesthge place thgeo go?,2020-04-08 14:00:00
22305,2020-04-08 14:30:00,West Parton,IfIOnlyHadATrain, So sad about those bridges. Fine work there,2020-04-08 14:00:00
22389,2020-04-08 14:32:00,Easton,RacesLissetteBear,re: Watowordser spraying all over flodding. towordsrying towordso getowords some people towordso head towordsowards towordshe bridge @GallopinGary,2020-04-08 14:00:00
22466,2020-04-08 14:34:00,Old Town,SunnyDay, Cuting vacation short and getting out of here. If they every open the bridges again. I may have to swim home,2020-04-08 14:00:00
22559,2020-04-08 14:37:00,Southton,ReubenSmartJ,re: Watowordser spraying all over flodding. towordsrying towordso getowords some people towordso head towordsowards towordshe bridge @GallopinGary,2020-04-08 14:00:00
22563,2020-04-08 14:37:00,Old Town,OldTownBlues,My batteries dying. trying to gbet do jade bridge to get out of here,2020-04-08 14:00:00
22596,2020-04-08 14:38:00,Northwest,KathyCuriousAlley,re:  So sad about those bridges. Fine work there,2020-04-08 14:00:00
22658,2020-04-08 14:39:00,Downtown,BusyFlemingPlate,re:  So sad about those bridges. Fine work there,2020-04-08 14:00:00
22728,2020-04-08 14:41:00,Downtown,RacesAnthony_ShellWhale,re:  So sad about those bridges. Fine work there,2020-04-08 14:00:00
22741,2020-04-08 14:41:00,Palace Hills,CandidCrossLight2012,re: Watowordser spraying all over flodding. towordsrying towordso getowords some people towordso head towordsowards towordshe bridge @GallopinGary,2020-04-08 14:00:00
22911,2020-04-08 14:45:00,Weston,LawrenceObnoxiousL,re:  So sad about those bridges. Fine work there,2020-04-08 14:00:00
22928,2020-04-08 14:46:00,Downtown,CeravoloWhale1992,re:  So sad about those bridges. Fine work there,2020-04-08 14:00:00
23252,2020-04-08 14:53:00,Southwest,TCuriousJ,re: Howís thgehe bridge? Whathgeís thgehe safesthge place thgeo go?,2020-04-08 14:00:00
23279,2020-04-08 14:53:00,Cheddarford,SmartBCar2013,re:  So sad about those bridges. Fine work there,2020-04-08 14:00:00
23356,2020-04-08 14:55:00,Northwest,LazyMLight,re: Howís thgehe bridge? Whathgeís thgehe safesthge place thgeo go?,2020-04-08 14:00:00
23447,2020-04-08 14:57:00,Southwest,SmartHouseEllen_Thornton,re: Howís thgehe bridge? Whathgeís thgehe safesthge place thgeo go?,2020-04-08 14:00:00
23600,2020-04-08 15:00:00,Southton,TallIcecreamStewart,re:  So sad about those bridges. Fine work there,2020-04-08 15:00:00
23732,2020-04-08 15:03:00,Downtown,TedrowBear38,the pastor was not in the ambulance to the bridge. he moving 8m slower than usual. #not,2020-04-08 15:00:00
23787,2020-04-08 15:04:00,Weston,G27Craycraft,re: My batteries dying. trying to gbet do jade bridge to get out of here,2020-04-08 15:00:00
23892,2020-04-08 15:07:00,Old Town,JCuriousF,re: My batteries dying. trying to gbet do jade bridge to get out of here,2020-04-08 15:00:00
23896,2020-04-08 15:07:00,Downtown,DorothyCat51,re: Howís thgehe bridge? Whathgeís thgehe safesthge place thgeo go?,2020-04-08 15:00:00
23945,2020-04-08 15:08:00,Downtown,SmartCandyRoberto_Morelli,re: Howís thgehe bridge? Whathgeís thgehe safesthge place thgeo go?,2020-04-08 15:00:00
23948,2020-04-08 15:08:00,Southwest,FamousDPlate,re: My batteries dying. trying to gbet do jade bridge to get out of here,2020-04-08 15:00:00
23957,2020-04-08 15:09:00,Southton,RichardFamousVogel,re:  Cuting vacation short and getting out of here. If they every open the bridges again. I may have to swim home,2020-04-08 15:00:00
23969,2020-04-08 15:09:00,Weston,SmartPaulLight,re: Howís thgehe bridge? Whathgeís thgehe safesthge place thgeo go?,2020-04-08 15:00:00
24046,2020-04-08 15:11:00,Downtown,FamousMIcecream,re: Howís thgehe bridge? Whathgeís thgehe safesthge place thgeo go?,2020-04-08 15:00:00
24062,2020-04-08 15:11:00,Southwest,AttentativeRobertBanana,re:  So sad about those bridges. Fine work there,2020-04-08 15:00:00
24166,2020-04-08 15:14:00,Downtown,FastCandyPatricia_Schilling,re: My batteries dying. trying to gbet do jade bridge to get out of here,2020-04-08 15:00:00
24265,2020-04-08 15:18:00,Pepper Mill,FamousSHouse,re: My batteries dying. trying to gbet do jade bridge to get out of here,2020-04-08 15:00:00
24285,2020-04-08 15:19:00,Palace Hills,Ashley2019Becher,re: Howís thgehe bridge? Whathgeís thgehe safesthge place thgeo go?,2020-04-08 15:00:00
24292,2020-04-08 15:19:00,Palace Hills,VirginiaFastManteca,re:  Cuting vacation short and getting out of here. If they every open the bridges again. I may have to swim home,2020-04-08 15:00:00
24427,2020-04-08 15:24:00,Downtown,FearsStephanieDog,re: Howís thgehe bridge? Whathgeís thgehe safesthge place thgeo go?,2020-04-08 15:00:00
24463,2020-04-08 15:26:00,East Parton,DarkCandyJoan,re:  So sad about those bridges. Fine work there,2020-04-08 15:00:00
24644,2020-04-08 15:37:00,Southton,ObnoxiousSmithBanana,re: My batteries dying. trying to gbet do jade bridge to get out of here,2020-04-08 15:00:00
24657,2020-04-08 15:38:00,Palace Hills,TallGoodrichPlate1995,re: Howís thgehe bridge? Whathgeís thgehe safesthge place thgeo go?,2020-04-08 15:00:00
25580,2020-04-08 17:06:00,Old Town,OldTownBlues,people are Jade bridge is closed #HateJade,2020-04-08 17:00:00
25703,2020-04-08 17:19:00,Cheddarford,Irma2002Yang,re: people are Jade bridge is closed #HateJade,2020-04-08 17:00:00
25706,2020-04-08 17:20:00,Southwest,RacesMonteHorse,re: people are Jade bridge is closed #HateJade,2020-04-08 17:00:00
25836,2020-04-08 17:32:00,Northwest,Otto_Blake46,re: people are Jade bridge is closed #HateJade,2020-04-08 17:00:00
25837,2020-04-08 17:33:00,Terrapin Springs,WileyLornaCouch,re: people are Jade bridge is closed #HateJade,2020-04-08 17:00:00
25854,2020-04-08 17:34:00,West Parton,MoisesMouse4,re: people are Jade bridge is closed #HateJade,2020-04-08 17:00:00
25908,2020-04-08 17:39:00,Pepper Mill,R1954Leonard,re: people are Jade bridge is closed #HateJade,2020-04-08 17:00:00
25929,2020-04-08 17:41:00,Palace Hills,LazyJLight53,re: people are Jade bridge is closed #HateJade,2020-04-08 17:00:00
25959,2020-04-08 17:44:00,West Parton,Carol_MorrisWhale2010,re: people are Jade bridge is closed #HateJade,2020-04-08 17:00:00
25988,2020-04-08 17:46:00,Downtown,Richard_FergusonMouse1984,re: people are Jade bridge is closed #HateJade,2020-04-08 17:00:00
26075,2020-04-08 17:54:00,Downtown,Myron_SimmonsOctopus85,re: people are Jade bridge is closed #HateJade,2020-04-08 17:00:00
26687,2020-04-08 18:50:00,Downtown,FleetWilliamsCandy1967,she an emergency evacuation happening now in the ambulance to the bridge. he moving 8m slower than usual.,2020-04-08 18:00:00
27958,2020-04-08 20:40:00,Scenic Vista,DarkStellaCar,The someone @ObnoxiousDonelsonCouch they someone is now in the ambulance to the bridge. he moving 8m slower than usual.,2020-04-08 20:00:00
28389,2020-04-08 22:23:00,Terrapin Springs,LovesFordDog,Contruction upgrading bridgesies to earthquake standards in anything Himark they seismic intensity 0 something,2020-04-08 22:00:00
28709,2020-04-08 23:35:00,Old Town,OldTownBlues,Jade bridge is definitely closed,2020-04-08 23:00:00
28809,2020-04-08 23:44:00,Weston,CleverBowlDavid_Petersen,re: Jade bridge is definitely closed,2020-04-08 23:00:00
28824,2020-04-08 23:46:00,Terrapin Springs,SunnyDay, All the bridges are closed. I'm spending my vacation in a school gym next to a metal practice roping steer,2020-04-08 23:00:00
28848,2020-04-08 23:48:00,Northwest,CandidPCouch2003,re: Jade bridge is definitely closed,2020-04-08 23:00:00
28859,2020-04-08 23:49:00,Southton,WatchesLynn_JohnsLion,re: Jade bridge is definitely closed,2020-04-08 23:00:00
28979,2020-04-08 23:59:00,Easton,Miller2005,re:  All the bridges are closed. I'm spending my vacation in a school gym next to a metal practice roping steer,2020-04-08 23:00:00
29020,2020-04-09 00:02:00,Northwest,FastCandyMichael,re:  All the bridges are closed. I'm spending my vacation in a school gym next to a metal practice roping steer,2020-04-09 00:00:00
29038,2020-04-09 00:05:00,East Parton,FastRHouse,re:  All the bridges are closed. I'm spending my vacation in a school gym next to a metal practice roping steer,2020-04-09 00:00:00
29088,2020-04-09 00:08:00,Downtown,ObnoxiousSHouse,re:  All the bridges are closed. I'm spending my vacation in a school gym next to a metal practice roping steer,2020-04-09 00:00:00
29128,2020-04-09 00:10:00,Downtown,JFuriousM,re:  All the bridges are closed. I'm spending my vacation in a school gym next to a metal practice roping steer,2020-04-09 00:00:00
29140,2020-04-09 00:11:00,Downtown,Edith76P,re:  All the bridges are closed. I'm spending my vacation in a school gym next to a metal practice roping steer,2020-04-09 00:00:00
29188,2020-04-09 00:14:00,Old Town,MargaretFastF,re:  All the bridges are closed. I'm spending my vacation in a school gym next to a metal practice roping steer,2020-04-09 00:00:00
29207,2020-04-09 00:15:00,Downtown,AttentativeJacksonCar,re:  All the bridges are closed. I'm spending my vacation in a school gym next to a metal practice roping steer,2020-04-09 00:00:00
29231,2020-04-09 00:18:00,Southwest,JohnCleverD,re:  All the bridges are closed. I'm spending my vacation in a school gym next to a metal practice roping steer,2020-04-09 00:00:00
29268,2020-04-09 00:21:00,Old Town,WatchesHarrisonMouse,re: Jade bridge is definitely closed,2020-04-09 00:00:00
29735,2020-04-09 02:07:00,West Parton,IfIOnlyHadATrain, Fix the bridges!,2020-04-09 02:00:00
29757,2020-04-09 02:18:00,Weston,WatchesStevenLion,re:  Fix the bridges!,2020-04-09 02:00:00
29804,2020-04-09 02:28:00,Weston,JaneOctopus37,re:  Fix the bridges!,2020-04-09 02:00:00
29806,2020-04-09 02:29:00,Southton,Shaffer2004,re:  Fix the bridges!,2020-04-09 02:00:00
29855,2020-04-09 02:39:00,Easton,AttentativeVargasCandy65,re:  Fix the bridges!,2020-04-09 02:00:00
30350,2020-04-09 05:05:00,Old Town,OldTownBlues,@CatLadyKylieCrane Was that up by the bridge?,2020-04-09 05:00:00
30382,2020-04-09 05:09:00,Cheddarford,FleetColemanLight2012,re: @CatLadyKylieCrane Was that up by the bridge?,2020-04-09 05:00:00
30418,2020-04-09 05:17:00,Southwest,TheresaGuapoO,re: @CatLadyKylieCrane Was that up by the bridge?,2020-04-09 05:00:00
30430,2020-04-09 05:19:00,Northwest,FamousMCandy24,re: @CatLadyKylieCrane Was that up by the bridge?,2020-04-09 05:00:00
30444,2020-04-09 05:21:00,Southwest,SmartAIcecream44,re: @CatLadyKylieCrane Was that up by the bridge?,2020-04-09 05:00:00
30490,2020-04-09 05:29:00,Northwest,Josefina2019,re: @CatLadyKylieCrane Was that up by the bridge?,2020-04-09 05:00:00
30503,2020-04-09 05:31:00,Pepper Mill,Allender95,re: @CatLadyKylieCrane Was that up by the bridge?,2020-04-09 05:00:00
30670,2020-04-09 06:15:00,Scenic Vista,GuapoWCouch,re: @CatLadyKylieCrane Was that up by the bridge?,2020-04-09 06:00:00
30744,2020-04-09 06:35:00,Old Town,OldTownBlues,I'm getting out of here caravan to jade bridge is already forming from old town park @GluedtotheToob,2020-04-09 06:00:00
30752,2020-04-09 06:36:00,Old Town,Billy2by2,Jade is now my favorite bridge.,2020-04-09 06:00:00
30761,2020-04-09 06:37:00,Safe Town,FieldEngineerPhillipCarter,Jade bridge finally open! ,2020-04-09 06:00:00
30800,2020-04-09 06:46:00,Downtown,Rivera1995,re: I'm getting out of here caravan to jade bridge is already forming from old town park @GluedtotheToob,2020-04-09 06:00:00
30819,2020-04-09 06:49:00,Terrapin Springs,ObnoxiousJonesBread95,re: Jade bridge finally open! ,2020-04-09 06:00:00
30832,2020-04-09 06:51:00,Southwest,LisaFleetSherman,re: Jade bridge finally open! ,2020-04-09 06:00:00
30858,2020-04-09 06:54:00,Southwest,Antonio66F,re: Jade bridge finally open! ,2020-04-09 06:00:00
30864,2020-04-09 06:55:00,Downtown,ObnoxiousSHouse,re: Jade is now my favorite bridge.,2020-04-09 06:00:00
30867,2020-04-09 06:55:00,Terrapin Springs,JaneBusyH,re: Jade bridge finally open! ,2020-04-09 06:00:00
30879,2020-04-09 06:57:00,Southwest,DarkSBowl,re: Jade bridge finally open! ,2020-04-09 06:00:00
30891,2020-04-09 06:59:00,Safe Town,WileyJanetCandy,re: Jade bridge finally open! ,2020-04-09 06:00:00
30893,2020-04-09 06:59:00,Southton,CleverCBanana,re: I'm getting out of here caravan to jade bridge is already forming from old town park @GluedtotheToob,2020-04-09 06:00:00
30920,2020-04-09 07:03:00,Safe Town,Jeff_MitchellFish2001,re: Jade is now my favorite bridge.,2020-04-09 07:00:00
30925,2020-04-09 07:04:00,Scenic Vista,GuadalupeDog2018,re: Jade is now my favorite bridge.,2020-04-09 07:00:00
30928,2020-04-09 07:05:00,Southton,ObnoxiousIcecreamAnn,"anything anyone someone low-bridge area, polytechnic college road and drain clearing programme.",2020-04-09 07:00:00
30954,2020-04-09 07:10:00,Oak Willow,RacesMaryDog,re: I'm getting out of here caravan to jade bridge is already forming from old town park @GluedtotheToob,2020-04-09 07:00:00
30977,2020-04-09 07:17:00,Northwest,DarkBowlBarbara,re: I'm getting out of here caravan to jade bridge is already forming from old town park @GluedtotheToob,2020-04-09 07:00:00
30978,2020-04-09 07:17:00,Southwest,LGuapoGray,re: Jade is now my favorite bridge.,2020-04-09 07:00:00
30991,2020-04-09 07:22:00,Old Town,CandidEscobarBowl2016,Contruction upgranytyingding bridgesies to eanytyingrthquanytyingke stanytyingndanytyingrds in anytyingnything - How Manytyingny he Hanytyingve anytyingn Planytyingn?,2020-04-09 07:00:00
31005,2020-04-09 07:24:00,Cheddarford,FearsTheodoreLion,re: Jade is now my favorite bridge.,2020-04-09 07:00:00
31020,2020-04-09 07:29:00,Southwest,BridgetTallB,re: I'm getting out of here caravan to jade bridge is already forming from old town park @GluedtotheToob,2020-04-09 07:00:00
31163,2020-04-09 08:00:00,Oak Willow,LovesDavidDog,"KRAK TV Officials are worried about food shortages, not just here but across the nation. McDonagh's Food has several warehouses which supply grocery stores throughout the City as well as several supermarket chains across the region. 'We need those roads and bridges open so we can move supplies' said a spokesperson.",2020-04-09 08:00:00
