index,time,location,account,message,hour
2850,2020-04-06 11:53:00,Downtown,CandidLBread,clearly need to download rumble after that earthquake! #HateearthquakeWonder,2020-04-06 11:00:00
2952,2020-04-06 12:07:00,Palace Hills,Wesley_RodriguezLion1969,"he for some anyone I feel like she anything she something had fun at festival &amp; then catchin my thumb on fire up the road again, looking forward to your soul",2020-04-06 12:00:00
2957,2020-04-06 12:07:00,Scenic Vista,FamousOCar1984,really need to download rumble after that quake! #rumble,2020-04-06 12:00:00
3586,2020-04-06 13:31:00,Broadview,JonesCat1952,really need to download rumble after that aftershock! #rumble,2020-04-06 13:00:00
3908,2020-04-06 14:04:00,Broadview,June_Forsythe53,"Plus if that is truly a testament to its lever-action burst-fire handling. The upgraded version, someone something, in order to. anything workers by giving them sheme to me.",2020-04-06 14:00:00
4079,2020-04-06 14:21:00,West Parton,FastBananaDickerson,really need to download rumble after that aftershock! #rumble,2020-04-06 14:00:00
4100,2020-04-06 14:24:00,Weston,Jeffrey_Chynoweth2002,really need to download rumble after that aftershock!,2020-04-06 14:00:00
4194,2020-04-06 14:33:00,Safe Town,Earthquake Prediction Center,We jsutust recorded a Northwest.Old Town mild earthquake jsutust northeast of St.Himark town. Did you feel it? Probably no damage #HateDidWonder,2020-04-06 14:00:00
4216,2020-04-06 14:36:00,Safe Town,AlwaysSafePowerCompany,"Hi all, just letting folks know that weíre aware of the earthquake that just occurred and acting quickly here at Always Safe Power Company!",2020-04-06 14:00:00
4266,2020-04-06 14:39:00,Cheddarford,LovesMaryBear,something back! Writing out some pretty good bonfire here also at 59 he brrrr,2020-04-06 14:00:00
4270,2020-04-06 14:39:00,Safe Town,FieldEngineerPhillipCarter,Earthquake? Feeling something shaking.,2020-04-06 14:00:00
4281,2020-04-06 14:40:00,Chapparal,ChemistryTeacherRichardNelson,Earthquake or not I still have to teach,2020-04-06 14:00:00
4293,2020-04-06 14:40:00,Northwest,TonyPeterson,What earthquake??? I didntididntn't feel anything!,2020-04-06 14:00:00
4294,2020-04-06 14:40:00,Downtown,TVHostBrad,"This is Brad, reporting from our local news station. We are getting calls from  Safe Town. There is report of a earthquake ",2020-04-06 14:00:00
4297,2020-04-06 14:40:00,West Parton,RachelSimmons,There's an earthquake? Does that mean I don't have to study for my history exam,2020-04-06 14:00:00
4320,2020-04-06 14:42:00,Scenic Vista,ChloeJohnson,My dear Pomelo was acting a bit off todayÖ Is that due to the earthquake? I didnít feel anything!,2020-04-06 14:00:00
4322,2020-04-06 14:42:00,Palace Hills,nobodyshome, EARTJQUAKE!!I DIDN'T MOVE HEAR JUST TO GET EARTHQUAKED!!!! #WinsJUSTCan,2020-04-06 14:00:00
4359,2020-04-06 14:44:00,UNKNOWN,CelebrityBrattyMatty,Aw my gawd! An earthquake? Donít worry it wonít be as intense as my next big hit :wink::wink:,2020-04-06 14:00:00
4364,2020-04-06 14:45:00,Safe Town,AlwaysSafePowerCompany,Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,2020-04-06 14:00:00
4377,2020-04-06 14:45:00,Palace Hills,Melissa_Reece1991,"re: Hi all, just letting folks know that weíre aware of the earthquake that just occurred and acting quickly here at Always Safe Power Company!",2020-04-06 14:00:00
4384,2020-04-06 14:46:00,East Parton,DarkGBanana,re: Earthquake or not I still have to teach,2020-04-06 14:00:00
4393,2020-04-06 14:46:00,Scenic Vista,SophistiCat, What is this talk of earthquakes? Nothing on the news. I didn't feel it.,2020-04-06 14:00:00
4395,2020-04-06 14:46:00,Terrapin Springs,JoanBird2008,re: There's an earthquake? Does that mean I don't have to study for my history exam,2020-04-06 14:00:00
4409,2020-04-06 14:47:00,Weston,WatchesTerrie_NolandDog,"re: This is Brad, reporting from our local news station. We are getting calls from  Safe Town. There is report of a earthquake ",2020-04-06 14:00:00
4427,2020-04-06 14:48:00,Broadview,FamousWBowl1973,re: There's an earthquake? Does that mean I don't have to study for my history exam,2020-04-06 14:00:00
4437,2020-04-06 14:49:00,Easton,CuriousELight,Why is the plate shaking?,2020-04-06 14:00:00
4443,2020-04-06 14:49:00,Pepper Mill,Mary2Redmond,"re: This is Brad, reporting from our local news station. We are getting calls from  Safe Town. There is report of a earthquake ",2020-04-06 14:00:00
4446,2020-04-06 14:49:00,Cheddarford,Jerome_Hussein1956,re: What earthquake??? I didntididntn't feel anything!,2020-04-06 14:00:00
4448,2020-04-06 14:49:00,East Parton,AttentativeBananaGentry,Can't pretend I didn't see my walls shake!,2020-04-06 14:00:00
4460,2020-04-06 14:50:00,Weston,CandidKlinkBowl61,The bowl was quaking like crazy!,2020-04-06 14:00:00
4461,2020-04-06 14:50:00,West Parton,BusyLightWilma,"re: Hi all, just letting folks know that weíre aware of the earthquake that just occurred and acting quickly here at Always Safe Power Company!",2020-04-06 14:00:00
4465,2020-04-06 14:50:00,Weston,HoldsAlvaradoWhale,re: There's an earthquake? Does that mean I don't have to study for my history exam,2020-04-06 14:00:00
4471,2020-04-06 14:50:00,Old Town,AttentativeBHouse,Why is the bowl shaking?,2020-04-06 14:00:00
4478,2020-04-06 14:51:00,Downtown,ObnoxiousGarciaBanana50,"re: This is Brad, reporting from our local news station. We are getting calls from  Safe Town. There is report of a earthquake ",2020-04-06 14:00:00
4492,2020-04-06 14:51:00,Southwest,CandidUzielCouch1967,I called the fire department and they told me to get off the phone. They told me I should only call in an emergency.,2020-04-06 14:00:00
4495,2020-04-06 14:51:00,Southton,BoredInStMark, Even the earthquakes are lame.  I didn't feel it.,2020-04-06 14:00:00
4498,2020-04-06 14:51:00,Downtown,Rebecca2008,The floor was shaking like mad!,2020-04-06 14:00:00
4505,2020-04-06 14:52:00,Scenic Vista,DarkStellaCar,Why are the pots quaking?,2020-04-06 14:00:00
4508,2020-04-06 14:52:00,Weston,CleverIcecreamPatricia,re:  EARTJQUAKE!!I DIDN'T MOVE HEAR JUST TO GET EARTHQUAKED!!!! #WinsJUSTCan,2020-04-06 14:00:00
4518,2020-04-06 14:52:00,Downtown,Andrea_RaglandBear1960,re: What earthquake??? I didntididntn't feel anything!,2020-04-06 14:00:00
4526,2020-04-06 14:53:00,Palace Hills,WileySHouse,re: What earthquake??? I didntididntn't feel anything!,2020-04-06 14:00:00
4527,2020-04-06 14:53:00,Chapparal,Melissa15,re: Earthquake or not I still have to teach,2020-04-06 14:00:00
4545,2020-04-06 14:53:00,Northwest,CleverGranthamIcecream,The end table was quaking like mad!,2020-04-06 14:00:00
4549,2020-04-06 14:53:00,Oak Willow,DarkWHouse,My pans nearly fell over because of the shaking! #pansWaste,2020-04-06 14:00:00
4551,2020-04-06 14:53:00,Easton,Parr1953,"Turns outeh I wasn'teh tehhe only one who felteh tehhe quaking, crap!",2020-04-06 14:00:00
4552,2020-04-06 14:53:00,Southton,CleverMHouse,The night stand is shaking!,2020-04-06 14:00:00
4557,2020-04-06 14:53:00,Old Town,Edward_Alston1985,re:  What is this talk of earthquakes? Nothing on the news. I didn't feel it.,2020-04-06 14:00:00
4558,2020-04-06 14:53:00,Terrapin Springs,FamousCandyRussell,re: My dear Pomelo was acting a bit off todayÖ Is that due to the earthquake? I didnít feel anything!,2020-04-06 14:00:00
4567,2020-04-06 14:54:00,Terrapin Springs,LovesPhillipsBird,Why is the bookshelf shaking?,2020-04-06 14:00:00
4585,2020-04-06 14:54:00,Downtown,HoldsBowmanHorse,re:  EARTJQUAKE!!I DIDN'T MOVE HEAR JUST TO GET EARTHQUAKED!!!! #WinsJUSTCan,2020-04-06 14:00:00
4589,2020-04-06 14:54:00,East Parton,FuriousMCandy1965,re: What earthquake??? I didntididntn't feel anything!,2020-04-06 14:00:00
4593,2020-04-06 14:55:00,Broadview,FearsVeronicaBear,"Heard there was shaking at the apartment, What the what?!!",2020-04-06 14:00:00
4599,2020-04-06 14:55:00,Scenic Vista,Robert13,The end tables were quaking like crazy!,2020-04-06 14:00:00
4601,2020-04-06 14:55:00,Chapparal,CandidLindaBread,re: There's an earthquake? Does that mean I don't have to study for my history exam,2020-04-06 14:00:00
4611,2020-04-06 14:55:00,Broadview,WileyRLight29,The bed frame was quaking like mad!,2020-04-06 14:00:00
4613,2020-04-06 14:55:00,Downtown,DarkJasonBread,"Heard there was quaking at the condo, egads!",2020-04-06 14:00:00
4614,2020-04-06 14:55:00,Weston,RacesMichael_ReesBear,"re: This is Brad, reporting from our local news station. We are getting calls from  Safe Town. There is report of a earthquake ",2020-04-06 14:00:00
4619,2020-04-06 14:55:00,Chapparal,FastBowlMoore,Why are the beds quaking?,2020-04-06 14:00:00
4622,2020-04-06 14:55:00,Oak Willow,FuriousCarBertha,Why is the coffee mug quaking? @FearsRossBird,2020-04-06 14:00:00
4632,2020-04-06 14:56:00,Terrapin Springs,Ruth1956Washington,re:  EARTJQUAKE!!I DIDN'T MOVE HEAR JUST TO GET EARTHQUAKED!!!! #WinsJUSTCan,2020-04-06 14:00:00
4636,2020-04-06 14:56:00,Old Town,ObnoxiousWilhiteCouch15,"I love jon and kate was fired, ben clarke is still sleeping! she is tempting. working hard and i will.",2020-04-06 14:00:00
4641,2020-04-06 14:56:00,Chapparal,Bruce_AppelHorse82,The dresser is quaking!,2020-04-06 14:00:00
4644,2020-04-06 14:56:00,Old Town,Bryan_Brown1993,The bookshelf is quaking!,2020-04-06 14:00:00
4645,2020-04-06 14:56:00,Terrapin Springs,JeffryFish1959,Am I the only one who felt the ground shake,2020-04-06 14:00:00
4652,2020-04-06 14:56:00,Southwest,CleverCouchKimberly,re: There's an earthquake? Does that mean I don't have to study for my history exam,2020-04-06 14:00:00
4657,2020-04-06 14:57:00,Weston,M51Richardson,re: My dear Pomelo was acting a bit off todayÖ Is that due to the earthquake? I didnít feel anything!,2020-04-06 14:00:00
4668,2020-04-06 14:57:00,Old Town,M2000Couley,My china jstuust moved. Earthquake?,2020-04-06 14:00:00
4669,2020-04-06 14:57:00,Scenic Vista,AttentativeCouchSergio_Gage,re: What earthquake??? I didntididntn't feel anything!,2020-04-06 14:00:00
4686,2020-04-06 14:58:00,Southwest,Nicole_SmithBear88,re: My dear Pomelo was acting a bit off todayÖ Is that due to the earthquake? I didnít feel anything!,2020-04-06 14:00:00
4691,2020-04-06 14:58:00,Palace Hills,PWileyHall,"Heard there was quaking at the high school, EEEK!",2020-04-06 14:00:00
4692,2020-04-06 14:58:00,Downtown,FastECar,"Heard there was shaking at the office, egads!",2020-04-06 14:00:00
4694,2020-04-06 14:58:00,Downtown,AttentativePBread32,re: There's an earthquake? Does that mean I don't have to study for my history exam,2020-04-06 14:00:00
4702,2020-04-06 14:58:00,Old Town,Jesus_Morgan11,re:  What is this talk of earthquakes? Nothing on the news. I didn't feel it.,2020-04-06 14:00:00
4703,2020-04-06 14:58:00,Southwest,LisaFleetSherman,re: What earthquake??? I didntididntn't feel anything!,2020-04-06 14:00:00
4710,2020-04-06 14:59:00,Downtown,TFuriousP,"re: Hi all, just letting folks know that weíre aware of the earthquake that just occurred and acting quickly here at Always Safe Power Company!",2020-04-06 14:00:00
4711,2020-04-06 14:59:00,Old Town,Denise37Brown,"Heard there was shaking at the high school, egads! #MakesItHeardWonder",2020-04-06 14:00:00
4721,2020-04-06 14:59:00,West Parton,WatsonDog3,re: Earthquake or not I still have to teach,2020-04-06 14:00:00
4735,2020-04-06 15:00:00,Palace Hills,ClarenceDog2017,re: My dear Pomelo was acting a bit off todayÖ Is that due to the earthquake? I didnít feel anything!,2020-04-06 15:00:00
4746,2020-04-06 15:00:00,Palace Hills,Myron_AlvarezCat77,re: We jsutust recorded a Northwest.Old Town mild earthquake jsutust northeast of St.Himark town. Did you feel it? Probably no damage #HateDidWonder,2020-04-06 15:00:00
4749,2020-04-06 15:00:00,Weston,FuriousHowesHouse1972,re: Earthquake or not I still have to teach,2020-04-06 15:00:00
4757,2020-04-06 15:00:00,Weston,Robert2017,re: What earthquake??? I didntididntn't feel anything!,2020-04-06 15:00:00
4762,2020-04-06 15:01:00,Cheddarford,FearsTheodoreLion,re: What earthquake??? I didntididntn't feel anything!,2020-04-06 15:00:00
4775,2020-04-06 15:01:00,Broadview,WileyRLight29,Can't pretend I didn't see my pans shake!,2020-04-06 15:00:00
4776,2020-04-06 15:01:00,Safe Town,FuriousCBanana87,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,2020-04-06 15:00:00
4782,2020-04-06 15:01:00,Broadview,FamousBroadwayLight,re:  EARTJQUAKE!!I DIDN'T MOVE HEAR JUST TO GET EARTHQUAKED!!!! #WinsJUSTCan,2020-04-06 15:00:00
4785,2020-04-06 15:01:00,Pepper Mill,CuriousBBanana1952,@HelenaGuapoA My coffee mugs nearly fell over because of tehhe quaking!,2020-04-06 15:00:00
4788,2020-04-06 15:02:00,Downtown,CandidIcecreamHeidi_Muir,re:  Even the earthquakes are lame.  I didn't feel it.,2020-04-06 15:00:00
4793,2020-04-06 15:02:00,Weston,NormanCat1959,re:  What is this talk of earthquakes? Nothing on the news. I didn't feel it.,2020-04-06 15:00:00
4802,2020-04-06 15:02:00,Southwest,RCuriousRiley,re: My dear Pomelo was acting a bit off todayÖ Is that due to the earthquake? I didnít feel anything!,2020-04-06 15:00:00
4812,2020-04-06 15:02:00,Chapparal,WileyTheodoraIcecream,"re: Hi all, just letting folks know that weíre aware of the earthquake that just occurred and acting quickly here at Always Safe Power Company!",2020-04-06 15:00:00
4814,2020-04-06 15:03:00,Palace Hills,BusyLedbetterCouch90,re: Earthquake or not I still have to teach,2020-04-06 15:00:00
4815,2020-04-06 15:03:00,Southwest,ObnoxiousLCandy,re: There's an earthquake? Does that mean I don't have to study for my history exam,2020-04-06 15:00:00
4816,2020-04-06 15:03:00,Cheddarford,ObnoxiousArthurCar,re:  EARTJQUAKE!!I DIDN'T MOVE HEAR JUST TO GET EARTHQUAKED!!!! #WinsJUSTCan,2020-04-06 15:00:00
4823,2020-04-06 15:03:00,Safe Town,Manuel_Santini1979,re: Earthquake? Feeling something shaking.,2020-04-06 15:00:00
4836,2020-04-06 15:03:00,Weston,GuapoCouchRuben_Graham,Please tell me I imagined the glarsees shaking!,2020-04-06 15:00:00
4846,2020-04-06 15:04:00,Palace Hills,AlinaDog1974,re:  Even the earthquakes are lame.  I didn't feel it.,2020-04-06 15:00:00
4847,2020-04-06 15:04:00,Northwest,ObnoxiousMCouch1965,re: Earthquake? Feeling something shaking.,2020-04-06 15:00:00
4848,2020-04-06 15:04:00,Terrapin Springs,RacesRohrBird,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,2020-04-06 15:00:00
4857,2020-04-06 15:04:00,Northwest,Brad_Swindler67,"re: Hi all, just letting folks know that weíre aware of the earthquake that just occurred and acting quickly here at Always Safe Power Company!",2020-04-06 15:00:00
4874,2020-04-06 15:05:00,Weston,FleetLightMichael,"re: This is Brad, reporting from our local news station. We are getting calls from  Safe Town. There is report of a earthquake ",2020-04-06 15:00:00
4876,2020-04-06 15:05:00,Southwest,RacesPertsovskyCat,re:  EARTJQUAKE!!I DIDN'T MOVE HEAR JUST TO GET EARTHQUAKED!!!! #WinsJUSTCan,2020-04-06 15:00:00
4893,2020-04-06 15:05:00,Terrapin Springs,FleetWPlate,re:  What is this talk of earthquakes? Nothing on the news. I didn't feel it.,2020-04-06 15:00:00
4902,2020-04-06 15:06:00,West Parton,DixonWhale31,re: Earthquake? Feeling something shaking.,2020-04-06 15:00:00
4907,2020-04-06 15:06:00,East Parton,DarkCocoCouch1950,"re: This is Brad, reporting from our local news station. We are getting calls from  Safe Town. There is report of a earthquake ",2020-04-06 15:00:00
4909,2020-04-06 15:06:00,Chapparal,ObnoxiousCandyMiller,re: There's an earthquake? Does that mean I don't have to study for my history exam,2020-04-06 15:00:00
4918,2020-04-06 15:06:00,Terrapin Springs,Helen_NewburyBear64,re:  EARTJQUAKE!!I DIDN'T MOVE HEAR JUST TO GET EARTHQUAKED!!!! #WinsJUSTCan,2020-04-06 15:00:00
4920,2020-04-06 15:07:00,Downtown,LBusyFunkhouser,re:  Even the earthquakes are lame.  I didn't feel it.,2020-04-06 15:00:00
4935,2020-04-06 15:07:00,Southton,RacesCraigCat,re:  EARTJQUAKE!!I DIDN'T MOVE HEAR JUST TO GET EARTHQUAKED!!!! #WinsJUSTCan,2020-04-06 15:00:00
4951,2020-04-06 15:08:00,Old Town,AttentativePlateAlysia_Silva,re: My dear Pomelo was acting a bit off todayÖ Is that due to the earthquake? I didnít feel anything!,2020-04-06 15:00:00
4954,2020-04-06 15:08:00,Southwest,Laura60Perkins,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,2020-04-06 15:00:00
4956,2020-04-06 15:08:00,Old Town,HoldsJohnsonMouse,re: We jsutust recorded a Northwest.Old Town mild earthquake jsutust northeast of St.Himark town. Did you feel it? Probably no damage #HateDidWonder,2020-04-06 15:00:00
4975,2020-04-06 15:09:00,Safe Town,Tammy_ReynosoWhale1958,re:  What is this talk of earthquakes? Nothing on the news. I didn't feel it.,2020-04-06 15:00:00
4977,2020-04-06 15:09:00,Downtown,CandidBowlPatricia,re: What earthquake??? I didntididntn't feel anything!,2020-04-06 15:00:00
4993,2020-04-06 15:10:00,West Parton,John_Rogers30,re: Earthquake? Feeling something shaking.,2020-04-06 15:00:00
5014,2020-04-06 15:11:00,Southwest,CleverMaconIcecream2018,re:  EARTJQUAKE!!I DIDN'T MOVE HEAR JUST TO GET EARTHQUAKED!!!! #WinsJUSTCan,2020-04-06 15:00:00
5019,2020-04-06 15:11:00,Southwest,FastTCar,re:  Even the earthquakes are lame.  I didn't feel it.,2020-04-06 15:00:00
5028,2020-04-06 15:12:00,Broadview,Stromme1972,re: We jsutust recorded a Northwest.Old Town mild earthquake jsutust northeast of St.Himark town. Did you feel it? Probably no damage #HateDidWonder,2020-04-06 15:00:00
5049,2020-04-06 15:12:00,Southwest,WileyHollinHouse1969,re: Earthquake? Feeling something shaking.,2020-04-06 15:00:00
5060,2020-04-06 15:13:00,Southwest,FastCrumpBowl2000,re:  Even the earthquakes are lame.  I didn't feel it.,2020-04-06 15:00:00
5062,2020-04-06 15:13:00,Cheddarford,DarkRCouch,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,2020-04-06 15:00:00
5074,2020-04-06 15:14:00,Scenic Vista,G2015Howland,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,2020-04-06 15:00:00
5078,2020-04-06 15:14:00,Old Town,SmartPlateWoody,re:  Even the earthquakes are lame.  I didn't feel it.,2020-04-06 15:00:00
5085,2020-04-06 15:14:00,Downtown,FamousCarStephen_Mccall,re: Earthquake or not I still have to teach,2020-04-06 15:00:00
5112,2020-04-06 15:15:00,Palace Hills,Ernest_Nordenstrom29,re:  EARTJQUAKE!!I DIDN'T MOVE HEAR JUST TO GET EARTHQUAKED!!!! #WinsJUSTCan,2020-04-06 15:00:00
5128,2020-04-06 15:16:00,Terrapin Springs,SmartHCouch,re: Earthquake? Feeling something shaking.,2020-04-06 15:00:00
5140,2020-04-06 15:17:00,Terrapin Springs,BusyGraceCar,re: Earthquake? Feeling something shaking.,2020-04-06 15:00:00
5146,2020-04-06 15:17:00,Southwest,FamousCouchShirley,re: Aw my gawd! An earthquake? Donít worry it wonít be as intense as my next big hit :wink::wink:,2020-04-06 15:00:00
5151,2020-04-06 15:17:00,Old Town,WatchesAnnaBear,re:  EARTJQUAKE!!I DIDN'T MOVE HEAR JUST TO GET EARTHQUAKED!!!! #WinsJUSTCan,2020-04-06 15:00:00
5163,2020-04-06 15:18:00,Chapparal,GuapoCandyMay,re: Earthquake? Feeling something shaking.,2020-04-06 15:00:00
5170,2020-04-06 15:18:00,Broadview,CandidFCouch,re:  EARTJQUAKE!!I DIDN'T MOVE HEAR JUST TO GET EARTHQUAKED!!!! #WinsJUSTCan,2020-04-06 15:00:00
5182,2020-04-06 15:19:00,Oak Willow,TallWayneIcecream,re: Earthquake? Feeling something shaking.,2020-04-06 15:00:00
5183,2020-04-06 15:19:00,Downtown,WatchesKimberly_OdomLion,re: Aw my gawd! An earthquake? Donít worry it wonít be as intense as my next big hit :wink::wink:,2020-04-06 15:00:00
5199,2020-04-06 15:20:00,Weston,CleverCandyBarbara_Nye,re: Earthquake? Feeling something shaking.,2020-04-06 15:00:00
5232,2020-04-06 15:22:00,Palace Hills,FamousBowlPatricia,re: Aw my gawd! An earthquake? Donít worry it wonít be as intense as my next big hit :wink::wink:,2020-04-06 15:00:00
5251,2020-04-06 15:23:00,East Parton,Stancil6,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,2020-04-06 15:00:00
5264,2020-04-06 15:24:00,Southton,David1981,re: Earthquake? Feeling something shaking.,2020-04-06 15:00:00
5272,2020-04-06 15:24:00,Palace Hills,SheltonBear1968,re:  Even the earthquakes are lame.  I didn't feel it.,2020-04-06 15:00:00
5279,2020-04-06 15:24:00,Scenic Vista,WatchesCeaMouse,re: My dear Pomelo was acting a bit off todayÖ Is that due to the earthquake? I didnít feel anything!,2020-04-06 15:00:00
5289,2020-04-06 15:25:00,Old Town,BennettBear2017,re:  Even the earthquakes are lame.  I didn't feel it.,2020-04-06 15:00:00
5301,2020-04-06 15:25:00,Downtown,GuapoBCouch,re: My dear Pomelo was acting a bit off todayÖ Is that due to the earthquake? I didnít feel anything!,2020-04-06 15:00:00
5311,2020-04-06 15:26:00,Scenic Vista,M34Rahmani,re: Hi @DerekNolan we care and are working hard and fast to mkeaake sure we are responding well to this earthquake!,2020-04-06 15:00:00
5320,2020-04-06 15:27:00,Cheddarford,ObnoxiousLCar,re: We jsutust recorded a Northwest.Old Town mild earthquake jsutust northeast of St.Himark town. Did you feel it? Probably no damage #HateDidWonder,2020-04-06 15:00:00
5347,2020-04-06 15:28:00,Scenic Vista,FastObletonCar,re: My dear Pomelo was acting a bit off todayÖ Is that due to the earthquake? I didnít feel anything!,2020-04-06 15:00:00
5350,2020-04-06 15:29:00,Downtown,WileyMCar,re: Aw my gawd! An earthquake? Donít worry it wonít be as intense as my next big hit :wink::wink:,2020-04-06 15:00:00
5415,2020-04-06 15:33:00,Oak Willow,RunsKeithleyFish,re: We jsutust recorded a Northwest.Old Town mild earthquake jsutust northeast of St.Himark town. Did you feel it? Probably no damage #HateDidWonder,2020-04-06 15:00:00
5546,2020-04-06 15:44:00,Weston,DFamousLamke,re: My dear Pomelo was acting a bit off todayÖ Is that due to the earthquake? I didnít feel anything!,2020-04-06 15:00:00
5734,2020-04-06 15:58:00,Old Town,Foster1995,Tickets are still available for the Lacki Dasicle April 8th concert in the Old Town Theater. Lacki will perform her new hit I quake when I hear your voice.,2020-04-06 15:00:00
5907,2020-04-06 16:11:00,Cheddarford,Jackson17,re: Tickets are still available for the Lacki Dasicle April 8th concert in the Old Town Theater. Lacki will perform her new hit I quake when I hear your voice.,2020-04-06 16:00:00
5961,2020-04-06 16:17:00,Southton,CandidPlateDakins,clearly need to snatch rumble after that aftershock!,2020-04-06 16:00:00
5974,2020-04-06 16:18:00,West Parton,CleverPlateSteinke,re: Tickets are still available for the Lacki Dasicle April 8th concert in the Old Town Theater. Lacki will perform her new hit I quake when I hear your voice.,2020-04-06 16:00:00
6041,2020-04-06 16:25:00,Cheddarford,LazyBCandy35,re: Tickets are still available for the Lacki Dasicle April 8th concert in the Old Town Theater. Lacki will perform her new hit I quake when I hear your voice.,2020-04-06 16:00:00
6054,2020-04-06 16:26:00,Broadview,IreneBird97,re: Tickets are still available for the Lacki Dasicle April 8th concert in the Old Town Theater. Lacki will perform her new hit I quake when I hear your voice.,2020-04-06 16:00:00
6101,2020-04-06 16:31:00,Chapparal,G2010Hillard,re: Tickets are still available for the Lacki Dasicle April 8th concert in the Old Town Theater. Lacki will perform her new hit I quake when I hear your voice.,2020-04-06 16:00:00
6145,2020-04-06 16:36:00,West Parton,FuriousJoshuaPlate,re: Tickets are still available for the Lacki Dasicle April 8th concert in the Old Town Theater. Lacki will perform her new hit I quake when I hear your voice.,2020-04-06 16:00:00
6226,2020-04-06 16:43:00,Downtown,Wagner2017,re: Tickets are still available for the Lacki Dasicle April 8th concert in the Old Town Theater. Lacki will perform her new hit I quake when I hear your voice.,2020-04-06 16:00:00
6233,2020-04-06 16:44:00,Cheddarford,WileyElliottPlate,absolutely need to download rumble after that quake! #rumble,2020-04-06 16:00:00
6242,2020-04-06 16:44:00,Broadview,SmartGCar,re: Tickets are still available for the Lacki Dasicle April 8th concert in the Old Town Theater. Lacki will perform her new hit I quake when I hear your voice.,2020-04-06 16:00:00
6251,2020-04-06 16:45:00,Scenic Vista,Gerry_Wright1974,re: Tickets are still available for the Lacki Dasicle April 8th concert in the Old Town Theater. Lacki will perform her new hit I quake when I hear your voice.,2020-04-06 16:00:00
6256,2020-04-06 16:46:00,Terrapin Springs,FearsKenneth_BarnettOctopus,re: Tickets are still available for the Lacki Dasicle April 8th concert in the Old Town Theater. Lacki will perform her new hit I quake when I hear your voice.,2020-04-06 16:00:00
